INPUT:original	INPUT:annotation	OUTPUT:result	OUTPUT:entity1	OUTPUT:entity2	OUTPUT:entity3	OUTPUT:entity4	OUTPUT:entity5	OUTPUT:entity6	OUTPUT:entity7	OUTPUT:entity8	OUTPUT:attribute1	OUTPUT:attribute2	OUTPUT:attribute3	OUTPUT:attribute4	OUTPUT:attribute5	OUTPUT:attribute6	OUTPUT:attribute7	OUTPUT:attribute8	GOLDEN:result	GOLDEN:entity1	GOLDEN:entity2	GOLDEN:entity3	GOLDEN:entity4	GOLDEN:entity5	GOLDEN:entity6	GOLDEN:entity7	GOLDEN:entity8	GOLDEN:attribute1	GOLDEN:attribute2	GOLDEN:attribute3	GOLDEN:attribute4	GOLDEN:attribute5	GOLDEN:attribute6	GOLDEN:attribute7	GOLDEN:attribute8	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/62.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/62_heap.jpg	"{""shape"":""rectangle""\,""left"":0.4179564371552404\,""top"":0.11977935382190703\,""width"":0.13037099755590037\,""height"":0.15445232466509068\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.408581264005861\,""top"":0.483845547675335\,""width"":0.0786072210217198\,""height"":0.0803782505910165\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.7795015760441294\,""top"":0.6524822695035462\,""width"":0.08549837393493886\,""height"":0.10401891252955087\,""label"":""3""}"	head	paw	fruit						simple	small	red																									https://toloka.yandex.ru/task/24685843/000178ad13--60b96ca0f0deff310a898ba9	000178ad13--60b96ca0f0deff310a898ba9	615d0dfb6ac4838de5f59f768f88a9fe	APPROVED	2021-06-03T23:58:24.934	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/35.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/35_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5877764333639873\,""top"":0.14271854343292315\,""width"":0.12594766608354213\,""height"":0.17330365004726253\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.4207964862167666\,""top"":0.3882320476665451\,""width"":0.07429011854036088\,""height"":0.02973346937085386\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.4489076870562461\,""top"":0.4180948662825535\,""width"":0.04475594178846398\,""height"":0.04465237792365084\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.2510538666673863\,""top"":0.5081080805650174\,""width"":0.2789153974008562\,""height"":0.08189973632871828\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.33447441315721727\,""top"":0.4636878845901193\,""width"":0.1717813960712763\,""height"":0.04025580260225142\,""label"":""5""}"	wing	forehead	beak	tail	belly				brown	brown	brown	brown	white																							https://toloka.yandex.ru/task/24685843/000178ad13--60b96fe9cd58ba6b3e1103eb	000178ad13--60b96fe9cd58ba6b3e1103eb	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T00:12:25.306	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/30.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/30_heap.jpg	"{""shape"":""rectangle""\,""left"":0.45496883152234063\,""top"":0.21404883233436423\,""width"":0.06424669383838638\,""height"":0.03307532041708772\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.4177143728133703\,""top"":0.25814925955714785\,""width"":0.037340695881907804\,""height"":0.023746383889191203\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5061074750742374\,""top"":0.25221266358485006\,""width"":0.04889647705552358\,""height"":0.07802383277877095\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.4570533082576091\,""top"":0.26747819608504436\,""width"":0.04522507826450667\,""height"":0.028202385162994503\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.4676809484164464\,""top"":0.3316140631156128\,""width"":0.2687917335265469\,""height"":0.2024504327407064\,""label"":""5""}"	crown	beak	nape	chin	wing				brown	crown	brown	brown	brown																							https://toloka.yandex.ru/task/24685843/000178ad13--60b9712ea2e4442f850d39cc	000178ad13--60b9712ea2e4442f850d39cc	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T00:17:50.474	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/25.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/25_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5236466143007464\,""top"":0.4145868271349183\,""width"":0.27220208148367375\,""height"":0.33251126237216805\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.586989237035941\,""top"":0.3030482391240012\,""width"":0.10614169215086644\,""height"":0.09049357140508368\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5580998651803624\,""top"":0.22518167768241754\,""width"":0.09907984569728068\,""height"":0.06944855479925027\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.37159040954699946\,""top"":0.22424817043540543\,""width"":0.12190490149320621\,""height"":0.19267288152313303\,""label"":""4""}"	wing	beak	forehead	nape					brown	gray	brown	brown																								https://toloka.yandex.ru/task/24685843/000178ad13--60b97261f0deff310a89e252	000178ad13--60b97261f0deff310a89e252	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T00:22:57.577	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/10.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/10_heap.jpg	"{""shape"":""rectangle""\,""left"":0.2208431981848673\,""top"":0.21465916937950083\,""width"":0.08024825515438494\,""height"":0.04840353819341689\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.16606038933280723\,""top"":0.27989872085758444\,""width"":0.046008999621847346\,""height"":0.0547170431751669\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.2910336720265693\,""top"":0.2609582059123343\,""width"":0.05285685072835489\,""height"":0.06523955147808363\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.22234116561441586\,""top"":0.30725724244516783\,""width"":0.0430130647627503\,""height"":0.023149518266416758\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.2349239651796431\,""top"":0.3320509026339154\,""width"":0.0443833355640571\,""height"":0.04110354805826838\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.3175207555791216\,""top"":0.38881294519057175\,""width"":0.16559163762015944\,""height"":0.06850591343044726\,""label"":""6""},{""shape"":""rectangle""\,""left"":0.46241343849676103\,""top"":0.27333154826496053\,""width"":0.0782181653662532\,""height"":0.09786559061492472\,""label"":""7""}"	crown	beak	nape	chin	throat	wing	rump		white	brown	white	white	white	brown	brown																					https://toloka.yandex.ru/task/24685843/000178ad13--60b9739e5bc69d78460a8b25	000178ad13--60b9739e5bc69d78460a8b25	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T00:28:14.414	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/11.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/11_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5700836046167506\,""top"":0.33882476735391803\,""width"":0.08196021793101183\,""height"":0.03788102989050007\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5594582434198506\,""top"":0.3807171265711487\,""width"":0.0522142435219074\,""height"":0.051349229643633365\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.6196477967174464\,""top"":0.40016187162002453\,""width"":0.06318819298760248\,""height"":0.034413737697747526\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.6347699710677231\,""top"":0.4657937856578716\,""width"":0.04686624282110552\,""height"":0.09463777866880568\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.392940158110819\,""top"":0.5198725163257606\,""width"":0.22245843259084724\,""height"":0.11829722333600712\,""label"":""5""}"	crown	ear coverts	lore	nape	wing				brown	brown	white	brown	brown																							https://toloka.yandex.ru/task/24685843/000178ad13--60b9754c319fec5a35ca966b	000178ad13--60b9754c319fec5a35ca966b	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T00:35:24.721	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/36.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/36_heap.jpg	"{""shape"":""rectangle""\,""left"":0.3524962857238248\,""top"":0.29666289592760187\,""width"":0.049525855952857856\,""height"":0.04909816490698837\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3556915022369124\,""top"":0.3712921065862243\,""width"":0.0846732375968216\,""height"":0.05302601809954749\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.7423127003205128\,""top"":0.2691679235796884\,""width"":0.10224692841880323\,""height"":0.0726652840623428\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.25024935730502146\,""top"":0.7955002513826043\,""width"":0.05431868072248919\,""height"":0.0883766968325791\,""label"":""4""}"	Chin	Chest	Wing	Tail					Black	Brown	Brown	Brown																								https://toloka.yandex.ru/task/24685843/000178ad13--60b97644df8878157e4e9807	000178ad13--60b97644df8878157e4e9807	296c6bb7a5de4a0fb6b7b8fa0cdb3e8f	APPROVED	2021-06-04T00:39:32.045	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/14.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/14_heap.jpg	"{""shape"":""rectangle""\,""left"":0.3209668175949524\,""top"":0.3907009573326644\,""width"":0.08202319231120331\,""height"":0.07877377412840653\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5063734085484016\,""top"":0.31612845115777294\,""width"":0.030758697116701317\,""height"":0.030459192662983803\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5602011285026287\,""top"":0.32032971911128794\,""width"":0.02136020633104263\,""height"":0.026257924709468805\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.48757642697708414\,""top"":0.43061300289105714\,""width"":0.06151739423340252\,""height"":0.06091838532596772\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.7729487835598124\,""top"":0.3497385947858931\,""width"":0.052118903447743836\,""height"":0.04306299652352891\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.5926686421258135\,""top"":0.42851236891429956\,""width"":0.19736830649883297\,""height"":0.059868068337589064\,""label"":""6""}"	Water	Forehead	Lore	Chest	Tail	Wing			Wavy, Clear White	Black	Black	Brown	Brown	Brown																						https://toloka.yandex.ru/task/24685843/000178ad13--60b976dc83d01a09979eff0c	000178ad13--60b976dc83d01a09979eff0c	296c6bb7a5de4a0fb6b7b8fa0cdb3e8f	APPROVED	2021-06-04T00:42:04.112	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/6_heap.jpg	"{""shape"":""rectangle""\,""left"":0.3787946347182823\,""top"":0.44163164433085905\,""width"":0.07210443029777991\,""height"":0.04624558899207265\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3861095769224048\,""top"":0.516138426595865\,""width"":0.024855107115977437\,""height"":0.019797306861682795\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.4144030962600678\,""top"":0.528062893414097\,""width"":0.025591236001095474\,""height"":0.03307238133007018\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.44327525995361144\,""top"":0.49418386863695185\,""width"":0.026247421539585092\,""height"":0.06453147576599061\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.5193927824184081\,""top"":0.6224401767218584\,""width"":0.1272999944669877\,""height"":0.03952552890666927\,""label"":""5""}"	Crown	Chin	Throat	Nape	Wing				Black	White	White	White	Brown																							https://toloka.yandex.ru/task/24685843/000178ad13--60b9784d4dc48f273e17bc6e	000178ad13--60b9784d4dc48f273e17bc6e	296c6bb7a5de4a0fb6b7b8fa0cdb3e8f	APPROVED	2021-06-04T00:48:13.908	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/26.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/26_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5545474769253204\,""top"":0.37970686370388235\,""width"":0.08384993224400428\,""height"":0.09316487069534213\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.36266013198231056\,""top"":0.4490849589025413\,""width"":0.16306393073413333\,""height"":0.22993882980127\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.4642475498933157\,""top"":0.10219448290924622\,""width"":0.10803741269900563\,""height"":0.2676012243376849\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.47102152930098856\,""top"":0.3807721214592979\,""width"":0.06821705328042565\,""height"":0.06350461520080841\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.4333531321619186\,""top"":0.3929845474594534\,""width"":0.02640927184035896\,""height"":0.033380631067091604\,""label"":""5""}"	tail	wing	wing	belly	crown				brown	brown	brown	brown	brown																							https://toloka.yandex.ru/task/24685843/000178ad13--60b978d499211a6cb36e84a9	000178ad13--60b978d499211a6cb36e84a9	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T00:50:28.007	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/62.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/62_heap.jpg	"{""shape"":""rectangle""\,""left"":0.490084936941577\,""top"":0.23065160732601842\,""width"":0.02022435220595825\,""height"":0.0189421932511529\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.45541461887422013\,""top"":0.15369894724320957\,""width"":0.05585773466407501\,""height"":0.03433272526771469\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.43807945984054175\,""top"":0.19158333374551542\,""width"":0.02889193172279736\,""height"":0.05209103144067059\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.42748575154218266\,""top"":0.502945635311342\,""width"":0.0462270907564758\,""height"":0.044987708971488294\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.7886348980771499\,""top"":0.6710576004153245\,""width"":0.06645144296243388\,""height"":0.053274918518867564\,""label"":""5""}"	Chin	Crown	Nape	Feet 	Fruit				Brown, White	Brown, Gray	brown	Red	Red																							https://toloka.yandex.ru/task/24685843/000178ad13--60b978ff7afbc056f66cdc48	000178ad13--60b978ff7afbc056f66cdc48	296c6bb7a5de4a0fb6b7b8fa0cdb3e8f	APPROVED	2021-06-04T00:51:11.584	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5166745960202993\,""top"":0.44915786827551546\,""width"":0.06390433026175213\,""height"":0.08052099044746103\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.39525636852297047\,""top"":0.19973919054801423\,""width"":0.08147802108373392\,""height"":0.13354700854700854\,""label"":""1""}"	Crown	Chin							Black	White																										https://toloka.yandex.ru/task/24685843/000178ad13--60b979d6f220db21bced28da	000178ad13--60b979d6f220db21bced28da	296c6bb7a5de4a0fb6b7b8fa0cdb3e8f	APPROVED	2021-06-04T00:54:46.738	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/21.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/21_heap.jpg	"{""shape"":""rectangle""\,""left"":0.530446910885681\,""top"":0.39703957023348035\,""width"":0.05118715863757073\,""height"":0.05784943800793324\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3488150576555917\,""top"":0.4142929113937412\,""width"":0.17265346048519287\,""height"":0.16948870433903257\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.50980692756408\,""top"":0.16767162304413083\,""width"":0.10650231393946141\,""height"":0.20399538665955427\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.49164374224107105\,""top"":0.3757266193884523\,""width"":0.033952772564033784\,""height"":0.03349177989932978\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.4610965669251015\,""top"":0.350354058858657\,""width"":0.028173577233985447\,""height"":0.03856629200528883\,""label"":""5""}"	tail	wing	wing	belly	crown				brown	brown	brown	brown	brown																							https://toloka.yandex.ru/task/24685843/000178ad13--60b97ec0be2bd36caab1cfb9	000178ad13--60b97ec0be2bd36caab1cfb9	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T01:15:44.566	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/55.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/55_heap.jpg	"{""shape"":""rectangle""\,""left"":0.18318001709907597\,""top"":0.08418006642333367\,""width"":0.06997647849462366\,""height"":0.04419453487225017\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.290819676679491\,""top"":0.07365755812041695\,""width"":0.09073402716122453\,""height"":0.0757620597810003\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.2326129422741771\,""top"":0.24412219262766763\,""width"":0.10614169215086652\,""height"":0.08418006642333367\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.22769104929137485\,""top"":0.13889710959850055\,""width"":0.06141666461148926\,""height"":0.05682154483575022\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.1761181706454901\,""top"":0.1367926079379172\,""width"":0.04472502753937721\,""height"":0.05892604649633357\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.37663181085791325\,""top"":0.22097267436125087\,""width"":0.11448751068692248\,""height"":0.5408569267699188\,""label"":""6""},{""shape"":""rectangle""\,""left"":0.5852772742593141\,""top"":0.26516720923350107\,""width"":0.20222560298905\,""height"":0.42931833875900166\,""label"":""7""}"	forehead	beak	breast	lore	ear coverts	wood	wood brown		brown	brown	brown	brown	brown	brown																						https://toloka.yandex.ru/task/24685843/000178ad13--60b980f1f220db21bced5d3c	000178ad13--60b980f1f220db21bced5d3c	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T01:25:05.912	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/2_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5424782048436422\,""top"":0.40616882049258496\,""width"":0.2039375657656768\,""height"":0.34513827233566796\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.3629361086448983\,""top"":0.15994212620433396\,""width"":0.11791143624017619\,""height"":0.20203215941600083\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5683716418401237\,""top"":0.014731511624083392\,""width"":0.10763965958041499\,""height"":0.15994212620433396\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.09758187826773207\,""top"":0.4356318437407517\,""width"":0.11962339901680313\,""height"":0.166255631186084\,""label"":""4""}"	beak	crown	wing	wing					orange	brown	brown	brown																								https://toloka.yandex.ru/task/24685843/000178ad13--60b982d01909760f1d5e0703	000178ad13--60b982d01909760f1d5e0703	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T01:33:04.501	+	
																																												
https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/72.jpg	https://raw.githubusercontent.com/sc16s2w/CS4145_Crowd_Computing/main/72_heap.jpg	"{""shape"":""rectangle""\,""left"":0.5844892717859328\,""top"":0.22165056634274036\,""width"":0.04248224278354873\,""height"":0.034215114277299535\,""label"":""1""},{""shape"":""rectangle""\,""left"":0.5640416405610924\,""top"":0.2324553392724139\,""width"":0.018982726301269737\,""height"":0.026411667161424235\,""label"":""2""},{""shape"":""rectangle""\,""left"":0.5840009701447425\,""top"":0.31709272722152326\,""width"":0.10504589056104519\,""height"":0.07203181953115695\,""label"":""3""},{""shape"":""rectangle""\,""left"":0.5401148601427719\,""top"":0.25766647610831883\,""width"":0.02533064763674242\,""height"":0.0216095458593471\,""label"":""4""},{""shape"":""rectangle""\,""left"":0.5673987143442751\,""top"":0.27447390066558874\,""width"":0.028321495189032597\,""height"":0.039617500742136325\,""label"":""5""},{""shape"":""rectangle""\,""left"":0.599199358726788\,""top"":0.26126806708487665\,""width"":0.028260457483883727\,""height"":0.03841697041661707\,""label"":""6""},{""shape"":""rectangle""\,""left"":0.6739095098288911\,""top"":0.46363246008022063\,""width"":0.10309649885285599\,""height"":0.09472934599800586\,""label"":""7""}"	crown	forehead	wing	beak	throat	ear coverts	tail		grey	grey	gray	black	gray	grey	brown																					https://toloka.yandex.ru/task/24685843/000178ad13--60b9833556e0ec582aa3cf97	000178ad13--60b9833556e0ec582aa3cf97	ce5fa0d6ce7e706800f6ccb574c342fc	APPROVED	2021-06-04T01:34:45.042	+	
																																												
